0,-530539.4375
10,-290057.5625
20,-290801.15625
30,-288004.28125
40,-283367.90625
50,-284288.8125
60,-287045.1875
70,-285448.84375
80,-284823.34375
90,-283471.625
100,-282085.8125
110,-277499.875
120,-280236.96875
130,-280753.40625
140,-281220.1875
150,-275267.3125
160,-275821.21875
170,-278239.21875
180,-275671.40625
190,-277837.0625
200,-282020.5625
210,-282248.3125
220,-277919.9375
230,-278723.53125
240,-282811.6875
250,-278830.5625
260,-282533.5
270,-280498.53125
280,-281301.6875
290,-284747.75
300,-279797.0
310,-279877.40625
320,-280113.25
330,-278709.71875
340,-274448.625
350,-274075.21875
360,-270806.53125
370,-273426.5625
380,-272013.75
390,-269249.6875
400,-264824.65625
410,-266338.3125
420,-266315.28125
430,-268311.75
440,-268674.4375
450,-265470.5
460,-273244.4375
470,-278188.90625
480,-274628.59375
490,-276267.5625
500,-277831.71875
